logistics_id,cluster_id,anchor_entity,kabupaten,provinsi,status_validasi,evidence_rank,evidence_type,source_path,evidence_strength,supports_function,inferred_logistics_function,evidence_summary,verdict_note
NODE-SULTENG-MOROWALI-IMIP-001,NODE-SULTENG-MOROWALI-IMIP,Indonesia Morowali Industrial Park (IMIP),Morowali,Sulawesi Tengah,indikatif_kuat,1,cluster_signal,data/raw/rev1_logistik/working/rev1_tahap_a_region_summary.csv,tier_2,ya,logistik_kawasan_industri,80 izin nikel dan 24 unit PLTU captive (5830 MW) mengunci Morowali sebagai cluster industri nikel terbesar di repo.,"Cluster sangat kuat sebagai simpul industri nikel, tetapi repo lokal belum menyebut nama terminal khusus atau jetty final. Tetap valid sebagai node prioritas Tahap C/OSINT."
NODE-SULTENG-MOROWALI-IMIP-001,NODE-SULTENG-MOROWALI-IMIP,Indonesia Morowali Industrial Park (IMIP),Morowali,Sulawesi Tengah,indikatif_kuat,2,narrative_anchor,docs/Page1-Assessment-Gaps.md,tier_2,ya,logistik_kawasan_industri,"Repo menandai IMIP sebagai kawasan mega-industri yang perlu direkap sebagai satu cluster, sehingga layak dipakai sebagai jangkar validasi logistik.","Cluster sangat kuat sebagai simpul industri nikel, tetapi repo lokal belum menyebut nama terminal khusus atau jetty final. Tetap valid sebagai node prioritas Tahap C/OSINT."
NODE-SULTENG-MOROWALI-IMIP-001,NODE-SULTENG-MOROWALI-IMIP,Indonesia Morowali Industrial Park (IMIP),Morowali,Sulawesi Tengah,indikatif_kuat,3,industrial_waste_signal,data/processed/sulawesi_limbah_b3.csv,tier_2,ya,logistik_kawasan_industri,"Entri limbah B3 untuk IMIP Morowali menunjukkan volume slag dan tailing skala besar, menguatkan fungsi node sebagai simpul operasi industri nikel.","Cluster sangat kuat sebagai simpul industri nikel, tetapi repo lokal belum menyebut nama terminal khusus atau jetty final. Tetap valid sebagai node prioritas Tahap C/OSINT."
NODE-SULTENG-MORUT-PETASIA-GNI-001,NODE-SULTENG-MORUT-PETASIA-GNI,Gunbuster Nickel Industry (GNI),Morowali Utara,Sulawesi Tengah,indikatif_kuat,1,cluster_signal,data/raw/rev1_logistik/working/rev1_tahap_a_region_summary.csv,tier_2,ya,pengapalan_produk_smelter,42 izin nikel dan 33 unit PLTU captive (5705 MW) memperlihatkan Petasia/Morowali Utara sebagai klaster aktif untuk rantai nikel.,"Keterkaitan node dengan GNI kuat, tetapi repo belum menyimpan nama jetty atau terminal khusus yang bisa dipakai sebagai klaim final."
NODE-SULTENG-MORUT-PETASIA-GNI-001,NODE-SULTENG-MORUT-PETASIA-GNI,Gunbuster Nickel Industry (GNI),Morowali Utara,Sulawesi Tengah,indikatif_kuat,2,power_anchor,data/processed/sulawesi_pltu_captive.csv,tier_2,ya,pengapalan_produk_smelter,Dataset PLTU captive berulang kali menyebut PT Gunbuster Nickel Industry di Petasia melalui Delong Nickel Phase III dan IV power station.,"Keterkaitan node dengan GNI kuat, tetapi repo belum menyimpan nama jetty atau terminal khusus yang bisa dipakai sebagai klaim final."
NODE-SULTENG-MORUT-PETASIA-GNI-001,NODE-SULTENG-MORUT-PETASIA-GNI,Gunbuster Nickel Industry (GNI),Morowali Utara,Sulawesi Tengah,indikatif_kuat,3,smelter_match,tools/scrapling/validate_cgs_matching.py,tier_2,ya,pengapalan_produk_smelter,File matching repo mengakui Gunbuster Nickel Industry sebagai entitas smelter nikel yang relevan untuk Morowali Utara.,"Keterkaitan node dengan GNI kuat, tetapi repo belum menyimpan nama jetty atau terminal khusus yang bisa dipakai sebagai klaim final."
NODE-SULTRA-KONAWE-MOROSI-VDNI-001,NODE-SULTRA-KONAWE-MOROSI-VDNI,Virtue Dragon Nickel Industry (VDNI),Konawe,Sulawesi Tenggara,indikatif_kuat,1,cluster_signal,data/raw/rev1_logistik/working/rev1_tahap_a_region_summary.csv,tier_2,ya,logistik_kawasan_industri,21 izin nikel dan 8 unit PLTU captive (530 MW) menandai Morosi/Konawe sebagai klaster nikel aktif.,"Node Morosi-VDNI lolos sebagai simpul logistik prioritas. Bukti lokal kuat untuk cluster industrinya, tetapi nama fasilitas sandar final belum muncul eksplisit di repo."
NODE-SULTRA-KONAWE-MOROSI-VDNI-001,NODE-SULTRA-KONAWE-MOROSI-VDNI,Virtue Dragon Nickel Industry (VDNI),Konawe,Sulawesi Tenggara,indikatif_kuat,2,power_anchor,data/processed/sulawesi_pltu_captive.csv,tier_2,ya,logistik_kawasan_industri,Dataset PLTU captive menyebut PT Virtue Dragon Nickel Industry sebagai owner Delong Nickel Phase I power station di Sulawesi Tenggara.,"Node Morosi-VDNI lolos sebagai simpul logistik prioritas. Bukti lokal kuat untuk cluster industrinya, tetapi nama fasilitas sandar final belum muncul eksplisit di repo."
NODE-SULTRA-KONAWE-MOROSI-VDNI-001,NODE-SULTRA-KONAWE-MOROSI-VDNI,Virtue Dragon Nickel Industry (VDNI),Konawe,Sulawesi Tenggara,indikatif_kuat,3,industrial_waste_signal,data/processed/sulawesi_limbah_b3.csv,tier_2,ya,logistik_kawasan_industri,"Entri limbah B3 untuk VDNI Konawe menyebut pengolahan jutaan ton bijih nikel, menguatkan Morosi sebagai cluster hilirisasi yang butuh simpul logistik.","Node Morosi-VDNI lolos sebagai simpul logistik prioritas. Bukti lokal kuat untuk cluster industrinya, tetapi nama fasilitas sandar final belum muncul eksplisit di repo."
NODE-SULTRA-KONAWE-OSS-001,NODE-SULTRA-KONAWE-OSS,Obsidian Stainless Steel (OSS),Konawe,Sulawesi Tenggara,indikatif,1,cluster_signal,data/raw/rev1_logistik/working/rev1_tahap_a_region_summary.csv,tier_2,ya,pengapalan_produk_smelter,21 izin nikel dan 11 unit PLTU captive (2220 MW) memperlihatkan Konawe sebagai cluster industri hilirisasi aktif.,"OSS terhubung kuat ke klaster Konawe melalui PLTU captive, tetapi bukti lokal repo masih belum cukup untuk memisahkan simpul logistiknya dari Morosi-VDNI."
NODE-SULTRA-KONAWE-OSS-001,NODE-SULTRA-KONAWE-OSS,Obsidian Stainless Steel (OSS),Konawe,Sulawesi Tenggara,indikatif,2,power_anchor,data/processed/sulawesi_pltu_captive.csv,tier_2,ya,pengapalan_produk_smelter,Dataset PLTU captive menyebut PT Obsidian Stainless Steel sebagai owner Delong Nickel Phase II power station di Sulawesi Tenggara.,"OSS terhubung kuat ke klaster Konawe melalui PLTU captive, tetapi bukti lokal repo masih belum cukup untuk memisahkan simpul logistiknya dari Morosi-VDNI."
NODE-SULTRA-KOLAKA-POMALAA-ANTAM-001,NODE-SULTRA-KOLAKA-POMALAA-ANTAM,ANTAM Pomalaa RKEF,Kolaka,Sulawesi Tenggara,indikatif_kuat,1,cluster_signal,data/raw/rev1_logistik/working/rev1_tahap_a_region_summary.csv,tier_2,ya,pengapalan_produk_smelter,19 izin nikel dan 2 unit PLTU captive (60 MW) menunjukkan Pomalaa/Kolaka tetap relevan sebagai cluster hilirisasi nikel.,Pomalaa-ANTAM adalah cluster valid untuk narasi ekspansi industri. Namun repo lokal belum menyebut nama pelabuhan/jetty final yang bisa dinyatakan sebagai fasilitas logistik terkonfirmasi.
NODE-SULTRA-KOLAKA-POMALAA-ANTAM-001,NODE-SULTRA-KOLAKA-POMALAA-ANTAM,ANTAM Pomalaa RKEF,Kolaka,Sulawesi Tenggara,indikatif_kuat,2,smelter_capacity,docs/CGS_DATA_ASSESSMENT.md,tier_1,ya,pengapalan_produk_smelter,Dokumen assessment CGS menyebut eksplisit ANTAM Pomalaa RKEF sebagai smelter nikel dengan kapasitas input dan output ferronickel.,Pomalaa-ANTAM adalah cluster valid untuk narasi ekspansi industri. Namun repo lokal belum menyebut nama pelabuhan/jetty final yang bisa dinyatakan sebagai fasilitas logistik terkonfirmasi.
