evidence_key,cluster_id,logistics_id,evidence_family,evidence_type_detail,evidence_level,source_ref,evidence_text,stage_origin,cluster_key
EVID-0001,NODE-SULTENG-MOROWALI-IMIP,NODE-SULTENG-MOROWALI-IMIP-001,internal_validation,cluster_signal,tier_2,data/raw/rev1_logistik/working/rev1_tahap_a_region_summary.csv,80 izin nikel dan 24 unit PLTU captive (5830 MW) mengunci Morowali sebagai cluster industri nikel terbesar di repo.,tahap_b,CLUSTER-001
EVID-0002,NODE-SULTENG-MOROWALI-IMIP,NODE-SULTENG-MOROWALI-IMIP-001,internal_validation,narrative_anchor,tier_2,docs/Page1-Assessment-Gaps.md,"Repo menandai IMIP sebagai kawasan mega-industri yang perlu direkap sebagai satu cluster, sehingga layak dipakai sebagai jangkar validasi logistik.",tahap_b,CLUSTER-001
EVID-0003,NODE-SULTENG-MOROWALI-IMIP,NODE-SULTENG-MOROWALI-IMIP-001,internal_validation,industrial_waste_signal,tier_2,data/processed/sulawesi_limbah_b3.csv,"Entri limbah B3 untuk IMIP Morowali menunjukkan volume slag dan tailing skala besar, menguatkan fungsi node sebagai simpul operasi industri nikel.",tahap_b,CLUSTER-001
EVID-0004,NODE-SULTENG-MORUT-PETASIA-GNI,NODE-SULTENG-MORUT-PETASIA-GNI-001,internal_validation,cluster_signal,tier_2,data/raw/rev1_logistik/working/rev1_tahap_a_region_summary.csv,42 izin nikel dan 33 unit PLTU captive (5705 MW) memperlihatkan Petasia/Morowali Utara sebagai klaster aktif untuk rantai nikel.,tahap_b,CLUSTER-002
EVID-0005,NODE-SULTENG-MORUT-PETASIA-GNI,NODE-SULTENG-MORUT-PETASIA-GNI-001,internal_validation,power_anchor,tier_2,data/processed/sulawesi_pltu_captive.csv,Dataset PLTU captive berulang kali menyebut PT Gunbuster Nickel Industry di Petasia melalui Delong Nickel Phase III dan IV power station.,tahap_b,CLUSTER-002
EVID-0006,NODE-SULTENG-MORUT-PETASIA-GNI,NODE-SULTENG-MORUT-PETASIA-GNI-001,internal_validation,smelter_match,tier_2,tools/scrapling/validate_cgs_matching.py,File matching repo mengakui Gunbuster Nickel Industry sebagai entitas smelter nikel yang relevan untuk Morowali Utara.,tahap_b,CLUSTER-002
EVID-0007,NODE-SULTRA-KONAWE-MOROSI-VDNI,NODE-SULTRA-KONAWE-MOROSI-VDNI-001,internal_validation,cluster_signal,tier_2,data/raw/rev1_logistik/working/rev1_tahap_a_region_summary.csv,21 izin nikel dan 8 unit PLTU captive (530 MW) menandai Morosi/Konawe sebagai klaster nikel aktif.,tahap_b,CLUSTER-003
EVID-0008,NODE-SULTRA-KONAWE-MOROSI-VDNI,NODE-SULTRA-KONAWE-MOROSI-VDNI-001,internal_validation,power_anchor,tier_2,data/processed/sulawesi_pltu_captive.csv,Dataset PLTU captive menyebut PT Virtue Dragon Nickel Industry sebagai owner Delong Nickel Phase I power station di Sulawesi Tenggara.,tahap_b,CLUSTER-003
EVID-0009,NODE-SULTRA-KONAWE-MOROSI-VDNI,NODE-SULTRA-KONAWE-MOROSI-VDNI-001,internal_validation,industrial_waste_signal,tier_2,data/processed/sulawesi_limbah_b3.csv,"Entri limbah B3 untuk VDNI Konawe menyebut pengolahan jutaan ton bijih nikel, menguatkan Morosi sebagai cluster hilirisasi yang butuh simpul logistik.",tahap_b,CLUSTER-003
EVID-0010,NODE-SULTRA-KONAWE-OSS,NODE-SULTRA-KONAWE-OSS-001,internal_validation,cluster_signal,tier_2,data/raw/rev1_logistik/working/rev1_tahap_a_region_summary.csv,21 izin nikel dan 11 unit PLTU captive (2220 MW) memperlihatkan Konawe sebagai cluster industri hilirisasi aktif.,tahap_b,CLUSTER-004
EVID-0011,NODE-SULTRA-KONAWE-OSS,NODE-SULTRA-KONAWE-OSS-001,internal_validation,power_anchor,tier_2,data/processed/sulawesi_pltu_captive.csv,Dataset PLTU captive menyebut PT Obsidian Stainless Steel sebagai owner Delong Nickel Phase II power station di Sulawesi Tenggara.,tahap_b,CLUSTER-004
EVID-0012,NODE-SULTRA-KOLAKA-POMALAA-ANTAM,NODE-SULTRA-KOLAKA-POMALAA-ANTAM-001,internal_validation,cluster_signal,tier_2,data/raw/rev1_logistik/working/rev1_tahap_a_region_summary.csv,19 izin nikel dan 2 unit PLTU captive (60 MW) menunjukkan Pomalaa/Kolaka tetap relevan sebagai cluster hilirisasi nikel.,tahap_b,CLUSTER-005
EVID-0013,NODE-SULTRA-KOLAKA-POMALAA-ANTAM,NODE-SULTRA-KOLAKA-POMALAA-ANTAM-001,internal_validation,smelter_capacity,tier_1,docs/CGS_DATA_ASSESSMENT.md,Dokumen assessment CGS menyebut eksplisit ANTAM Pomalaa RKEF sebagai smelter nikel dengan kapasitas input dan output ferronickel.,tahap_b,CLUSTER-005
EVID-0014,NODE-SULTRA-KOLAKA-POMALAA-ANTAM,NODE-SULTRA-KOLAKA-POMALAA-ANTAM-001,internal_validation,power_anchor,tier_2,data/processed/sulawesi_pltu_captive.csv,"Dataset PLTU captive menyebut Pomalaa Nickel power station milik PT Aneka Tambang Tbk, memperkuat operasi industri nikel di Pomalaa.",tahap_b,CLUSTER-005
EVID-0015,NODE-SULSEL-LUTIM-SOROWAKO-VALE,NODE-SULSEL-LUTIM-SOROWAKO-VALE-001,internal_validation,permit_signal,tier_3,data/raw/rev1_logistik/working/rev1_tahap_a_region_summary.csv,"21 izin nikel pada 26 entitas mengonfirmasi Luwu Timur sebagai sabuk nikel, meski sinyal logistik khusus belum muncul.",tahap_b,CLUSTER-006
EVID-0016,NODE-SULSEL-LUTIM-SOROWAKO-VALE,NODE-SULSEL-LUTIM-SOROWAKO-VALE-001,internal_validation,actor_anchor,tier_3,docs/page8_aktor_oligarki_mapping.md,Repo menempatkan Vale/Sorowako sebagai aktor penting dalam lanskap nikel Sulawesi Selatan.,tahap_b,CLUSTER-006
EVID-0017,NODE-SULSEL-LUTIM-SOROWAKO-VALE,NODE-SULSEL-LUTIM-SOROWAKO-VALE-001,internal_validation,conflict_anchor,tier_3,docs/DATASET_SUMMARY_KONFLIK_TAMBANG_SULAWESI.md,"Ringkasan konflik tambang menegaskan kehadiran panjang PT Vale Indonesia di Luwu Timur, tetapi belum menjawab nama fasilitas logistik yang melayaninya.",tahap_b,CLUSTER-006
EVID-0018,NODE-SULTENG-MOROWALI-IMIP,NODE-SULTENG-MOROWALI-IMIP-001,osint_round1,hit_jelas,public_osint,wired.com/story/workers-are-dying-in-the-ev-industrys-tainted-city,Laporan WIRED menyebut IMIP di Labota/Bahodopi sebagai kompleks industri 3.000 hektare dengan airport dan seaport milik sendiri.,tahap_b,CLUSTER-001
EVID-0019,NODE-SULTENG-MOROWALI-IMIP,NODE-SULTENG-MOROWALI-IMIP-001,osint_round1,hit_pendukung,public_osint,arxiv.org/abs/2603.07331,Makalah 2026 menyebut IMIP sebagai kompleks pengolahan nikel terintegrasi terbesar di pesisir Sulawesi Tengah.,tahap_b,CLUSTER-001
