record_id,cluster_id,source_family,signal_theme,impact_channel,evidence_tier,reference_year,location_label,entity_label,source_ref,extract_text,why_it_matters,match_quality
AGR-001,NODE-SULTRA-KOLAKA-POMALAA-ANTAM,konflik_agraria,konflik_dan_ruang_hidup,pesisir_livelihood,tier_2,2007,Nikel,PT Aneka Tambnag Mencemari Laut di Desa Hakatotubu,data/processed/sulawesi_konflik_agraria_tanahkita.csv,"Desa Hakatotubu dan Desa Tambea, Kecamatan Pomalaa merupakan suatu daerah yang sebagian besar wilayahnya merupakan lokasi pertambangan nikel berskala nasional maupun internsional .salah satunya adalah PT ANTAM, Di Pom...","Menambah bukti bahwa node tidak hanya punya izin/PLTU, tetapi juga jejak tekanan sosial-ekologis di sekitarnya.",cluster_direct
AGR-002,NODE-SULSEL-LUTIM-SOROWAKO-VALE,konflik_agraria,konflik_dan_ruang_hidup,adat_dan_permukiman,tier_2,1968,Manufacture,PT.Vale Mengubah Lahan Pemukiman Masyarakat Adat Karunsiâ€™e Menjadi Lapangan Golf.,data/processed/sulawesi_konflik_agraria_tanahkita.csv,Kemunculan perusahaan tambang di suatu wilayah menjadi fenomena bernuansa konflik berkaitan dengan pemanfaatan ruang antara perusahaan dengan masyarakat setempat yang terjadi di Luwu Timur. Konflik yang terjadi antara...,"Menambah bukti bahwa node tidak hanya punya izin/PLTU, tetapi juga jejak tekanan sosial-ekologis di sekitarnya.",cluster_direct
AGR-003,NODE-SULSEL-LUTIM-SOROWAKO-VALE,konflik_agraria,konflik_dan_ruang_hidup,adat_dan_permukiman,tier_2,2003,Nikel,Konflik Agraria Komunitas Adat Karunsiâ€™e dengan PT Vale Indonesia Tbk Kabupaten Luwu Timur Provinsi Sulawesi Selatan,data/processed/sulawesi_konflik_agraria_tanahkita.csv,"PT Inco adalah perusahaan tambang yang sekitar 60% sahamnya dimiliki oleh Inco Canada Ltd, yang mengoperasikan tambang Nikel dan melakukan proses peleburan di dekat Sungai Matano di Sorowako, Provinsi Sulawesi Selatan...","Menambah bukti bahwa node tidak hanya punya izin/PLTU, tetapi juga jejak tekanan sosial-ekologis di sekitarnya.",cluster_direct
FPIC-004,NODE-SULSEL-LUTIM-SOROWAKO-VALE,konflik_fpic,fpic_dan_kriminalisasi,adat_dan_hak_tanah,tier_2,2003,Sulawesi Selatan,Konflik Agraria Komunitas Adat Karunsiâ€™e dengan PT Vale Indonesia Tbk Kabupaten Luwu Timur Provinsi Sulawesi Selatan,data/processed/sulawesi_konflik_tambang_fpic.csv,nan,Memberi dasar bahwa Sorowako/ Vale tetap penting di Tahap C sebagai node dampak dan konflik tata kelola.,cluster_direct
FPIC-005,NODE-SULSEL-LUTIM-SOROWAKO-VALE,konflik_fpic,fpic_dan_kriminalisasi,adat_dan_hak_tanah,tier_2,1968,Sulawesi (unspecified),PT.Vale Mengubah Lahan Pemukiman Masyarakat Adat Karunsiâ€™e Menjadi Lapangan Golf.,data/processed/sulawesi_konflik_tambang_fpic.csv,Kemunculan perusahaan tambang di suatu wilayah menjadi fenomena bernuansa konflik berkaitan dengan pemanfaatan ruang antara perusahaan dengan masyarakat setempat yang terjadi di Luwu Timur. Konflik yang terjadi antara...,Memberi dasar bahwa Sorowako/ Vale tetap penting di Tahap C sebagai node dampak dan konflik tata kelola.,cluster_direct
WASTE-006,NODE-SULTENG-MOROWALI-IMIP,limbah_b3,beban_limbah_industri,slag_tailing_limbah,tier_2,,Sulawesi Tengah,IMIP (Morowali),data/processed/sulawesi_limbah_b3.csv,Timbunan tanpa izin mencapai >12 juta ton. Sebagian dimanfaatkan jadi batako (40.000 unit/hari).,Menguatkan bahwa node industri pesisir memerlukan arus logistik besar sekaligus menghasilkan beban limbah besar.,cluster_direct
WASTE-007,NODE-SULTENG-MOROWALI-IMIP,limbah_b3,beban_limbah_industri,slag_tailing_limbah,tier_2,,Sulawesi Tengah,PT Huayue Nickel Cobalt (HNC) - Morowali,data/processed/sulawesi_limbah_b3.csv,Hasil ekstraksi PDF. Menghasilkan 7 juta ton tailing dari 70.000 ton MHP pada tahun 2023.,Menguatkan bahwa node industri pesisir memerlukan arus logistik besar sekaligus menghasilkan beban limbah besar.,cluster_area
WASTE-008,NODE-SULTENG-MOROWALI-IMIP,limbah_b3,beban_limbah_industri,slag_tailing_limbah,tier_2,,Sulawesi Tengah,PT QMB New Energy Materials - Morowali,data/processed/sulawesi_limbah_b3.csv,"Hasil ekstraksi PDF. Menghasilkan 5,5 juta ton tailing dari 55.000 ton MHP pada tahun 2023.",Menguatkan bahwa node industri pesisir memerlukan arus logistik besar sekaligus menghasilkan beban limbah besar.,cluster_area
WASTE-009,NODE-SULTRA-KONAWE-MOROSI-VDNI,limbah_b3,beban_limbah_industri,slag_tailing_limbah,tier_2,,Sulawesi Tenggara,VDNI (Konawe) & Sekitarnya,data/processed/sulawesi_limbah_b3.csv,"Tahun 2020 mengolah 7,28 juta ton bijih nikel. Mayoritas industri nikel nasional (13 juta ton slag) berada di wilayah ini.",Menguatkan bahwa node industri pesisir memerlukan arus logistik besar sekaligus menghasilkan beban limbah besar.,cluster_direct
ISSUE-010,NODE-SULTENG-MOROWALI-IMIP,masalah_izin,tumpang_tindih_izin,governance_bottleneck,tier_2,2023,nan,Indonesia; Indonesia Morowali Industrial Park (IMIP),data/processed/kpa_masalah_izin_perusahaan.csv,Dekade Krisis Agraria: Warisan Nawacita dan Masa Depan Reforma Agraria Pasca Perubahan Politik 2024 | 51 Tingginya angka kemiskinan dan sebaran petani gurem beriringan dengan tingginya pembangunan yang bersifat “lapar...,Menambah jalur argumen bahwa ekspansi infrastruktur juga terkait bottleneck tata kelola dan tumpang tindih izin.,cluster_direct
DOC-IMIP-001,NODE-SULTENG-MOROWALI-IMIP,repo_note,beban_ekologis_industri,polusi_udara_laut,tier_3,,Morowali,IMIP / Tsingshan / Bintang Delapan,docs/page8_aktor_oligarki_mapping.md,Catatan repo menempatkan IMIP sebagai pusat mega-industri dengan pencemaran udara dan laut serta PLTU captive >3900 MW.,Mengubah node IMIP dari sekadar cluster izin menjadi simpul industri pesisir dengan beban ekologis besar.,cluster_direct
DOC-VALE-001,NODE-SULSEL-LUTIM-SOROWAKO-VALE,repo_note,beban_ekologis_lanskap,sedimentasi_danau_hutan,tier_3,,Sorowako / Danau Mahalona-Towuti,PT Vale Indonesia,docs/page8_aktor_oligarki_mapping.md,Catatan repo menyebut sedimentasi di Danau Mahalona dan Towuti serta cumulative ecological loss besar di blok Vale.,"Menjaga Sorowako tetap relevan di Tahap C sebagai node dampak, meski simpul logistik pesisir belum kuat.",cluster_direct
