cluster_id,node_label,priority_order,source_code,source_label,target_output,extraction_goal
NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,1,repo_existing,Dataset dan dokumen repo yang sudah ada,Tahap A shortlist logistik,"Kunci anchor perusahaan, wilayah, dan cluster smelter dari data repo yang sudah ada."
NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,2,amdal_and_technical_docs,"AMDAL, lampiran teknis, audit lingkungan, dokumen perusahaan",Tahap A shortlist logistik,"Cari nama terminal khusus, jetty, dermaga industri, atau pelabuhan yang disebut eksplisit."
NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,5,official_geospatial,Geoportal atau peta resmi,Tahap A shortlist logistik,"Verifikasi posisi pesisir, bentuk fasilitas, dan kedekatan dengan kawasan industri."
NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,6,news_and_osint,"Berita, siaran pers, dan OSINT",Tahap A shortlist logistik,"Cari lead tambahan untuk nama simpul logistik, ekspansi terminal, atau dugaan suplai ilegal."
NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,1,repo_existing,Dataset dan dokumen repo yang sudah ada,Tahap A shortlist logistik,"Kunci anchor perusahaan, wilayah, dan cluster smelter dari data repo yang sudah ada."
NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,2,amdal_and_technical_docs,"AMDAL, lampiran teknis, audit lingkungan, dokumen perusahaan",Tahap A shortlist logistik,"Cari nama terminal khusus, jetty, dermaga industri, atau pelabuhan yang disebut eksplisit."
NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,5,official_geospatial,Geoportal atau peta resmi,Tahap A shortlist logistik,"Verifikasi posisi pesisir, bentuk fasilitas, dan kedekatan dengan kawasan industri."
NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,6,news_and_osint,"Berita, siaran pers, dan OSINT",Tahap A shortlist logistik,"Cari lead tambahan untuk nama simpul logistik, ekspansi terminal, atau dugaan suplai ilegal."
NODE-SULTRA-KONAWE-MOROSI-VDNI,Simpul logistik Morosi-VDNI,1,repo_existing,Dataset dan dokumen repo yang sudah ada,Tahap A shortlist logistik,"Kunci anchor perusahaan, wilayah, dan cluster smelter dari data repo yang sudah ada."
NODE-SULTRA-KONAWE-MOROSI-VDNI,Simpul logistik Morosi-VDNI,2,amdal_and_technical_docs,"AMDAL, lampiran teknis, audit lingkungan, dokumen perusahaan",Tahap A shortlist logistik,"Cari nama terminal khusus, jetty, dermaga industri, atau pelabuhan yang disebut eksplisit."
NODE-SULTRA-KONAWE-MOROSI-VDNI,Simpul logistik Morosi-VDNI,5,official_geospatial,Geoportal atau peta resmi,Tahap A shortlist logistik,"Verifikasi posisi pesisir, bentuk fasilitas, dan kedekatan dengan kawasan industri."
NODE-SULTRA-KONAWE-MOROSI-VDNI,Simpul logistik Morosi-VDNI,6,news_and_osint,"Berita, siaran pers, dan OSINT",Tahap A shortlist logistik,"Cari lead tambahan untuk nama simpul logistik, ekspansi terminal, atau dugaan suplai ilegal."
NODE-SULTRA-KONAWE-OSS,Simpul logistik Konawe-OSS,1,repo_existing,Dataset dan dokumen repo yang sudah ada,Tahap A shortlist logistik,"Kunci anchor perusahaan, wilayah, dan cluster smelter dari data repo yang sudah ada."
NODE-SULTRA-KONAWE-OSS,Simpul logistik Konawe-OSS,2,amdal_and_technical_docs,"AMDAL, lampiran teknis, audit lingkungan, dokumen perusahaan",Tahap A shortlist logistik,"Cari nama terminal khusus, jetty, dermaga industri, atau pelabuhan yang disebut eksplisit."
NODE-SULTRA-KONAWE-OSS,Simpul logistik Konawe-OSS,5,official_geospatial,Geoportal atau peta resmi,Tahap A shortlist logistik,"Verifikasi posisi pesisir, bentuk fasilitas, dan kedekatan dengan kawasan industri."
NODE-SULTRA-KONAWE-OSS,Simpul logistik Konawe-OSS,6,news_and_osint,"Berita, siaran pers, dan OSINT",Tahap A shortlist logistik,"Cari lead tambahan untuk nama simpul logistik, ekspansi terminal, atau dugaan suplai ilegal."
NODE-SULTRA-KOLAKA-POMALAA-ANTAM,Simpul logistik Pomalaa-ANTAM,1,repo_existing,Dataset dan dokumen repo yang sudah ada,Tahap A shortlist logistik,"Kunci anchor perusahaan, wilayah, dan cluster smelter dari data repo yang sudah ada."
NODE-SULTRA-KOLAKA-POMALAA-ANTAM,Simpul logistik Pomalaa-ANTAM,2,amdal_and_technical_docs,"AMDAL, lampiran teknis, audit lingkungan, dokumen perusahaan",Tahap A shortlist logistik,"Cari nama terminal khusus, jetty, dermaga industri, atau pelabuhan yang disebut eksplisit."
