section_id,section_title,narrative_type,node_scope,narrative_text,evidence_sources,confidence_level,usage_note
D-INTRO-001,Pembuka Argumen Infrastruktur,framing,ALL,"Ekspansi industri nikel di Sulawesi tidak berhenti pada izin, smelter, dan PLTU captive. Di balik setiap cluster industri terdapat simpul logistik pesisir — pelabuhan, jetty, dan terminal — yang menghubungkan kawasan smelter langsung ke jalur ekspor internasional. Infrastruktur ini bukan sekadar pendukung, melainkan prasyarat yang membuat ekspansi berskala besar secara fisik dimungkinkan.","corridor_scorecard; transport_project_tracking; argument_map",tinggi,Dipakai sebagai kalimat pembuka sub-bab infrastruktur di Bab 4.1.
D-INTRO-002,Peta 6 Simpul Logistik,overview,ALL,"Enam simpul logistik pesisir teridentifikasi di sepanjang sabuk nikel Sulawesi: (1) IMIP-Bahodopi dengan seaport dan port jetties; (2) GNI-Petasia dengan pelabuhan terintegrasi berkapasitas 50.000 DWT; (3) VDNI-Morosi dengan jetty dan pelabuhan 50.000 ton; (4) OSS yang berbagi infrastruktur dengan VDNI; (5) ANTAM-Pomalaa dengan jetty 12.000 DWT; dan (6) Vale-Sorowako dengan pelabuhan Balantang Malili. Setiap simpul menghubungkan kawasan smelter langsung ke rantai pasok global.","corridor_scorecard; transport_project_tracking",tinggi,Bisa dipakai sebagai ringkasan overview atau infografis peta simpul.
D-NODE-001,IMIP-Bahodopi: Mega-simpul Terintegrasi,node_deep,NODE-SULTENG-MOROWALI-IMIP,"IMIP di Bahodopi adalah simpul logistik pesisir terbesar. Kawasan industri seluas 2.000 hektar ini dilengkapi seaport dengan port jetties untuk bulk carrier, airport dengan runway 1.800 meter, dan PLTU captive 5.830 MW. Pada akhir 2024, terdapat 50 perusahaan beroperasi dengan total investasi US$34,3 miliar dan 85.000 pekerja. Tsingshan sebagai pengelola menyediakan akses pelabuhan sebagai layanan bersama (shared service) bagi seluruh tenant — model yang menjadikan setiap smelter baru di dalam kawasan otomatis terhubung ke jalur ekspor tanpa perlu membangun pelabuhan sendiri. Bijih nikel ditambang dari area sekitar, diproses di smelter, lalu dimuat ke kapal di port jetties IMIP untuk dikirim ke China sebagai produk antara.","Wikipedia Morowali Industrial Park; Jakarta Globe; Nickel Industries; EJAtlas; GEM Wiki; official_source_leads SRC-005",tinggi,Simpul terkuat. Bisa dipakai sebagai pembuka atau studi kasus utama.
D-NODE-002,GNI-Petasia: Koridor Smelter Pesisir Morowali Utara,node_deep,NODE-SULTENG-MORUT-PETASIA-GNI,"GNI di Petasia mengoperasikan smelter NPI dengan 24 lini produksi (kapasitas 1,8 juta ton/tahun) di dalam Kawasan Industri Stardust Estate Investment (1.912 ha). Yang menopang operasi ini adalah pelabuhan terintegrasi dengan kapasitas 9 x 5.000 DWT Barge dan 2 x 50.000 DWT Vessel — salah satu fasilitas pelabuhan industri nikel terbesar di Sulawesi. Dengan investasi total Rp 42,9 triliun (~US$2,65 miliar) dan PLTU captive 1.115 MW, GNI memperlihatkan pola yang sama dengan IMIP: kawasan industri besar yang dibangun lengkap dengan pelabuhan ekspor sendiri. GNI berafiliasi dengan Jiangsu Delong Nickel Industry (induk yang sama dengan VDNI di Konawe). Sejak awal 2025, GNI menghadapi tantangan operasional setelah perusahaan induknya di China menyatakan kebangkrutan.","gunbusternickelindustry.com; Petromindo; CELIOS PDF GNI Closure",tinggi,Penting untuk menunjukkan skala infrastruktur di luar IMIP. Catatan: status operasional GNI sedang terganggu — perlu disebut.
D-NODE-003,VDNI-Morosi: PSN dengan Jetty Terintegrasi,node_deep,NODE-SULTRA-KONAWE-MOROSI-VDNI,"Di Morosi, Kabupaten Konawe, VDNI membangun jetty (selesai 2017) yang mampu menampung 4 tongkang dan 1 kapal besar, dengan pelabuhan berkapasitas 50.000 ton. Jalan eksklusif selebar 30 meter menghubungkan jetty langsung ke pabrik smelter — jalur khusus dump truck untuk mengangkut batubara dan bijih nikel. VDNI dan OSS yang berlokasi di kawasan yang sama berstatus Proyek Strategis Nasional berdasarkan Perpres 58/2017 dan berada di Kawasan Industri Konawe (KIK) yang diakui KPPIP. Investasi awal US$1 miliar dari China First Heavy Industry mencakup pembangunan smelter, PLTU batubara, dan pelabuhan — sebuah paket infrastruktur terpadu. Total investasi kemudian naik ke US$5 miliar untuk pabrik stainless steel dan kapasitas tambahan. Kawasan ini mengubah topografi empat kecamatan di dua kabupaten dan menyempitkan jalur air termasuk habitat kepiting serta menutup puluhan hektar tambak.","idenews.id; liputan6; modusaceh.co; ekuatorial.com; KPPIP; official_source_leads SRC-002/SRC-010",tinggi,"Kuat untuk argumen PSN + dampak. Menunjukkan pola investasi yang menyatukan smelter, pelabuhan, dan PLTU dalam satu paket."
D-NODE-004,OSS-Konawe: Satu Kawasan Dua Entitas,node_supporting,NODE-SULTRA-KONAWE-OSS,"OSS berlokasi di Desa Porara, Kecamatan Morosi — persis di kawasan yang sama dengan VDNI. Didirikan empat tahun setelah VDNI, OSS memproduksi stainless steel dengan kapasitas hingga 3 juta ton per tahun. Meski secara entitas bisnis berbeda (induknya Hongkong Xiangyu Hansheng Co), OSS berbagi infrastruktur pelabuhan dengan VDNI. Keduanya sama-sama berstatus PSN di Kawasan Industri Konawe. Pola ini menunjukkan bagaimana kawasan industri PSN menjadi kendaraan legitimasi bagi investor yang datang secara bertahap ke lokasi yang sudah dibuka oleh investor sebelumnya.","idenews.id; kliksultra.id; official_source_leads SRC-010",sedang,Dipakai sebagai pelengkap narasi VDNI — jangan pisahkan di level fasilitas sandar.
D-NODE-005,ANTAM-Pomalaa: Legacy Hilirisasi dengan Jetty Resmi,node_deep,NODE-SULTRA-KOLAKA-POMALAA-ANTAM,"Pomalaa adalah kawasan nikel tertua di Sulawesi — bijih laterit pertama ditemukan di sini pada 1909 dan penambangan dimulai 1938. Hari ini, ANTAM mengoperasikan tiga smelter ferronickel (FeNi II, III, IV) dengan kapasitas gabungan 27 kt Ni. Jetty baru berkapasitas 12.000 DWT dengan unloading rate 2 x 500 ton per jam dibangun sebagai Work Package 1 dari proyek ekspansi P3FP (US$573 juta). Belt conveyor sepanjang 4 km menggantikan dump truck untuk mengangkut bijih nikel dan batubara dari pelabuhan ke pabrik. Di sekitar node ini, PT Indonesia Pomalaa Industry Park (IPIP) — masuk daftar PSN sejak Desember 2022, dikelola Huayou, 11.808 ha, target investasi US$10 miliar — berencana membangun RKEF dan HPAL, PLTU gas, dan fasilitas daur ulang baterai. Pomalaa dengan demikian bukan sekadar smelter legacy, melainkan kawasan yang sedang berubah menjadi hub hilirisasi berskala baru.","antam.com (official); thejakartapost.com; Kompas.id; PwC; JICA PDF; GEM Wiki; official_source_leads SRC-004/SRC-013",tinggi,Kuat untuk argumen legacy + ekspansi baru. Jetty dan belt conveyor dari sumber resmi perusahaan.
D-NODE-006,Vale-Sorowako: Sabuk Nikel dengan Jalur Pesisir,node_deep,NODE-SULSEL-LUTIM-SOROWAKO-VALE,"PT Vale Indonesia mengoperasikan tambang nikel dan peleburan di Blok Sorowako, Kabupaten Luwu Timur, dengan area konsesi 118.017 hektar lintas tiga provinsi. Pelabuhan PT Vale di Kecamatan Nuha dikonfirmasi oleh kunjungan resmi TNI AL Lantamal VI. Pelabuhan Balantang di Malili berfungsi sebagai shipment port nikel. Vale membangun rute logistik tambang yang menghubungkan Sorowako ke pelabuhan pengiriman di Balantang melalui Karebbe, Balambano, Togo, Wasuponda, dan Asuli. Layanan korporat Vale mencakup Special Port services, procurement, dan logistics — mengkonfirmasi operasi pelabuhan khusus. Ke depan, proyek IHIP (Indonesia Huali Industry Park) di Luwu Timur dengan investasi US$2,3 miliar (Huayou) akan mencakup HPAL, FPP, port baru, jalan, dan fasilitas pendukung lain, ditargetkan operasi penuh akhir 2027. Meski Sorowako bukan kawasan pesisir dalam pengertian geografis sempit, jalur logistik ke Malili menghubungkannya secara fungsional ke rantai pasok nikel global.","Lantamal VI TNI AL; vale.com; petromindo.com; valebasemetals.com; ima-api.org",tinggi,Sorowako naik dari pelengkap kontras menjadi simpul aktif. Kuat untuk argumen historis + pertumbuhan baru (IGP).
D-SYNTH-001,Sintesis: Pola Pembangunan Simpul,synthesis,ALL,"Keenam simpul logistik memperlihatkan pola yang konsisten: investor membangun kawasan industri lengkap dengan smelter, PLTU captive, DAN pelabuhan/jetty sebagai satu paket — bukan sebagai tambahan bertahap. Di IMIP, Tsingshan menyediakan akses pelabuhan sebagai shared service. Di GNI, pelabuhan terintegrasi dengan stockpile dibangun dari awal. Di VDNI, investasi US$1 miliar dari China First Heavy Industry secara eksplisit mencakup 'smelter, coal power plant, AND port.' Di ANTAM, jetty adalah Work Package 1 (bukan terakhir) dari proyek ekspansi. Pola ini menunjukkan bahwa infrastruktur pelabuhan bukan sekadar pendukung, melainkan prasyarat esensial dari ekspansi industri nikel — tanpa akses pelabuhan, tidak ada smelter yang layak secara ekonomis.","transport_project_tracking; argument_map; narrative_blocks",tinggi,Poin argumentasi terkuat. Cocok untuk kesimpulan sub-bab atau ringkasan eksekutif.
D-SYNTH-002,Sintesis: PSN Sebagai Kendaraan Legitimasi,synthesis,ALL,"Dari enam simpul, setidaknya empat memiliki status Proyek Strategis Nasional yang terkonfirmasi: IMIP-Morowali (PSN 2022), VDNI dan OSS di Konawe (PSN Perpres 58/2017), dan IPIP-Pomalaa (PSN Desember 2022). Status PSN memberi legitimasi hukum dan percepatan birokrasi — investor yang beroperasi di dalam kawasan PSN mendapat akses ke fast-track perizinan, pembebasan lahan, dan dukungan infrastruktur pemerintah. Fakta bahwa KEK (Kawasan Ekonomi Khusus) justru TIDAK ada di satupun node nikel prioritas ini menunjukkan bahwa legitimasi infrastruktur nikel di Sulawesi dibangun melalui jalur PSN dan Kawasan Industri, bukan melalui mekanisme KEK yang ditujukan untuk sektor lain.","official_source_leads SRC-001/002/010/013/014/015; Kompas.id; CNBC Indonesia",tinggi,Poin kebijakan penting. Menutup pertanyaan KEK secara definitif.
