source_id,cluster_scope,source_family,institution,evidence_direction,source_title,source_ref,access_type,terms_hit,key_extract,stage_c_use,confidence_gain,followup_status
SRC-OFFICIAL-001,NODE-SULTENG-MOROWALI-IMIP|NODE-SULTRA-KONAWE-MOROSI-VDNI|NODE-SULTRA-KONAWE-OSS,kppip_psn_smelter,KPPIP,positive,U. Proyek Pembangunan Smelter,https://kppip.go.id/proyek-strategis-nasional/u-proyek-pembangunan-smelter/,html,Morowali; Konawe,Listing proyek smelter KPPIP memasukkan Morowali dan Konawe sebagai lokasi resmi program pembangunan smelter.,menaikkan keyakinan bahwa Morowali dan Konawe punya jangkar resmi pada daftar PSN/program smelter nasional,psn_program_signal,sudah_diikat
SRC-OFFICIAL-002,NODE-SULTENG-MOROWALI-IMIP|NODE-SULTRA-KONAWE-MOROSI-VDNI|NODE-SULTRA-KONAWE-OSS,kppip_kawasan_industri,KPPIP,positive,S. Pembangunan Kawasan Industri Prioritas / Kawasan Ekonomi Khusus,https://kppip.go.id/proyek-strategis-nasional/s-pembangunan-kawasan-industri-prioritas-kawasan-ekonomi-khusus/,html,Kawasan Industri Morowali; Kawasan Industri Konawe,Halaman KPPIP untuk kawasan industri prioritas memasukkan Kawasan Industri Morowali dan Kawasan Industri Konawe.,menaikkan keyakinan legitimasi kawasan industri pada node Morowali dan Konawe,kawasan_legitimacy_signal,sudah_diikat
SRC-OFFICIAL-003,ALL,kppip_rail_reference,KPPIP,negative,Kereta Api Makassar - Parepare,https://kppip.go.id/proyek-prioritas/kereta-api/kereta-api-makassar-parepare/,html,Makassar; Parepare,"Halaman proyek kereta KPPIP yang relevan di Sulawesi hanya mengunci Makassar-Parepare, bukan Morowali/Konawe/Pomalaa/Sorowako.",negative official evidence untuk membatasi overclaim soal rail penghubung node nikel prioritas,rail_negative_signal,sudah_diikat
SRC-OFFICIAL-004,NODE-SULTRA-KOLAKA-POMALAA-ANTAM,company_primary_pdf,PT Vale Indonesia,positive,PT Vale Indonesia Officially Begins Pomalaa Block Development,data/raw/rev1_logistik/external_vale_pomalaa.pdf,pdf_downloaded,Pomalaa; Kolaka; National Strategic Project; downstream nickel,PDF resmi Vale menyebut proyek Pomalaa di Kolaka sebagai National Strategic Project dan bagian percepatan downstream nickel production.,menaikkan keyakinan node Pomalaa dari sekadar smelter valid menjadi proyek hilirisasi resmi berstatus strategis,company_primary_psn_signal,sudah_diunduh
SRC-OFFICIAL-005,NODE-SULTENG-MOROWALI-IMIP,company_primary_pdf,PT Vale Indonesia,positive,PT Vale dan PT BNSI Resmikan Pembangunan Proyek Pertambangan dan Pengolahan Nikel Rendah Karbon Terintegrasi di Morowali,data/raw/rev1_logistik/external_vale_morowali.pdf,pdf_downloaded,Morowali; Bahodopi; Bungku Timur; Sambalagi; PSN,PDF resmi Vale menyebut Proyek Morowali dinyatakan sebagai PSN pada 2022 serta mengunci lokasi tambang di Bungku Timur/Bahodopi dan pabrik di Sambalagi.,menaikkan keyakinan node Morowali pada level proyek primer resmi dan mengunci geografi proyek,company_primary_psn_signal,sudah_diunduh
SRC-OFFICIAL-006,ALL,kemenhub_regulation_signal,Kementerian Perhubungan,methodological,Kemenhub Sempurnakan Aturan Penggunaan Terminal Khusus untuk Kepentingan Umum,https://dephub.go.id/post/read/kemenhub-sempurnakan-aturan-penggunaan-terminal-khusus-untuk-kepentingan-umum,html,PM 71 Tahun 2016; terminal khusus; terminal untuk kepentingan sendiri,Artikel Kemenhub mengunci regulasi PM 71 Tahun 2016 sebagai payung untuk terminal khusus dan terminal untuk kepentingan sendiri.,memberi jalur resmi untuk dorking dokumen terminal khusus dan konsesi pelabuhan,regulatory_anchor,sudah_diikat
SRC-OFFICIAL-007,NODE-SULTENG-MOROWALI-IMIP,dephub_search_negative,Kementerian Perhubungan,negative,Hasil pencarian Morowali pada portal Dephub,https://dephub.go.id/search?keyword=Morowali,html_search,Morowali,"Pencarian resmi Dephub untuk Morowali yang muncul saat ini didominasi berita banjir/evakuasi, bukan entri terminal khusus atau pelabuhan nikel.",menjelaskan kenapa bukti port-specific masih belum naik walau sudah dikejar di portal pemerintah,search_negative_signal,sudah_diikat
SRC-OFFICIAL-008,NODE-SULTENG-MOROWALI-IMIP,public_osint_port,Wikipedia / Jakarta Globe / Nickel Industries,positive,IMIP Port Jetties & Seaport,https://en.wikipedia.org/wiki/Morowali_Industrial_Park,html,"IMIP seaport; port jetties; bulk carrier; airport 1800m","IMIP memiliki seaport sendiri dengan port jetties untuk bulk carrier vessels, plus airport runway 1.800m. Tsingshan menyediakan port access sebagai shared service kepada tenant.",mengunci IMIP sebagai simpul logistik pesisir dengan fasilitas pelabuhan terkonfirmasi,facility_specific_confirmed,sudah_diikat
SRC-OFFICIAL-009,NODE-SULTENG-MORUT-PETASIA-GNI,company_official_port,PT Gunbuster Nickel Industry,positive,GNI Integrated Port & Stockpile,https://gunbusternickelindustry.com/en_us/,html,"integrated port; 9x5000 DWT barge; 2x50000 DWT vessel; Stardust Estate","GNI mengoperasikan integrated port & stockpile dengan kapasitas 9x5.000 DWT Barge dan 2x50.000 DWT Vessel di Kawasan Industri Stardust Estate Investment, Petasia.",mengunci GNI sebagai node dengan fasilitas pelabuhan terintegrasi terkonfirmasi,facility_specific_confirmed,sudah_diikat
SRC-OFFICIAL-010,NODE-SULTRA-KONAWE-MOROSI-VDNI|NODE-SULTRA-KONAWE-OSS,public_osint_port,idenews.id / liputan6 / modusaceh.co,positive,VDNI Jetty Morosi & Kawasan Industri Konawe,"https://idenews.id/Print_article/print_page/706; https://modusaceh.co/news/melirik-konawe-virtue-dragon-dan-naga-celebes/index.html",html,"jetty Morosi 2017; 4 tongkang + 1 kapal besar; 50.000 ton; PSN Perpres 58/2017; Kawasan Industri Konawe (KIK)","VDNI membangun jetty di Morosi (selesai 2017) dengan kapasitas 4 tongkang + 1 kapal besar, pelabuhan 50.000 ton. VDNI dan OSS berstatus PSN (Perpres 58/2017) di Kawasan Industri Konawe (KIK). OSS berlokasi di Desa Porara, Kecamatan Morosi, lokasi yang sama dengan VDNI.",mengunci VDNI/OSS dengan jetty terkonfirmasi dan status PSN resmi; memisahkan keduanya secara entitas meski berbagi lokasi,facility_specific_confirmed,sudah_diikat
