source_id,source_type,source_name,url_or_path,access_date,content_type,nodes_covered,evidence_provided,confidence_level
LOG-001,web_public,Wikipedia - Morowali Industrial Park,https://en.wikipedia.org/wiki/Morowali_Industrial_Park,2026-06-27,html,NODE-SULTENG-MOROWALI-IMIP,"Seaport + port jetties + airport 1.800m; 2.000 ha; 50 perusahaan; USD 34.3B; 85.000 pekerja",tinggi
LOG-002,web_public,Jakarta Globe - Rise of IMIP,https://jakartaglobe.id/business/rise-of-imip-the-metamorphosis-of-morowalis-forests-into-an-industrial-hub,2026-06-27,html,NODE-SULTENG-MOROWALI-IMIP,"Sejarah IMIP; transformasi Bahodopi; Tsingshan sebagai pengelola dengan port access shared service",tinggi
LOG-003,web_public,Nickel Industries - IMIP page,https://nickelindustries.com/section/indonesia-morowali-industrial-park-imip/,2026-06-27,html,NODE-SULTENG-MOROWALI-IMIP,"Infrastruktur lengkap: lahan, power plant, ports, airport",tinggi
LOG-004,company_official,GNI Official Website,https://gunbusternickelindustry.com/en_us/,2026-06-27,html,NODE-SULTENG-MORUT-PETASIA-GNI,"Integrated port & stockpile: 9x5.000 DWT Barge + 2x50.000 DWT Vessel; 24 lini RKEF; 1.115 MW",tinggi
LOG-005,web_public,Petromindo - GNI job listings,https://www.petromindo.com/job-gallery/22981,2026-06-27,html,NODE-SULTENG-MORUT-PETASIA-GNI,"Stardust Estate Investment Industrial Area; investasi Rp 42.9T",sedang
LOG-006,company_official,CELIOS - GNI Closure Analysis PDF,https://celios.co.id/wp-content/uploads/2025/03/CELIOS-Potential-Implications-of-PT-GNI-Closure.pdf,2026-06-27,pdf,NODE-SULTENG-MORUT-PETASIA-GNI,"Kebangkrutan induk Jiangsu Delong; dampak penutupan GNI",tinggi
LOG-007,web_public,idenews.id - VDNI dan OSS terbesar di Indonesia,https://idenews.id/Print_article/print_page/706,2026-06-27,html,NODE-SULTRA-KONAWE-MOROSI-VDNI|NODE-SULTRA-KONAWE-OSS,"Jetty VDNI 2017; OSS Desa Porara; PSN; investasi $1B+$5B",tinggi
LOG-008,web_public,modusaceh.co - Melirik Konawe Virtue Dragon,https://modusaceh.co/news/melirik-konawe-virtue-dragon-dan-naga-celebes/index.html,2026-06-27,html,NODE-SULTRA-KONAWE-MOROSI-VDNI,"Profil VDNI; jetty; pelabuhan 50.000 ton; jalan 30m",tinggi
LOG-009,web_public,ekuatorial.com - Produksi kepiting tersedak debu batu bara,https://www.ekuatorial.com/2025/05/produksi-kepiting-tersedak-debu-batu-bara/,2026-06-27,html,NODE-SULTRA-KONAWE-MOROSI-VDNI|NODE-SULTRA-KONAWE-OSS,"Dampak lingkungan; perubahan topografi 4 kecamatan; tambak tertutup",tinggi
LOG-010,web_public,liputan6 - Profil VDNI,https://www.liputan6.com/hot/read/5172444/profil-pt-virtue-dragon-nickel-industry-perusahaan-nikel-asal-china,2026-06-27,html,NODE-SULTRA-KONAWE-MOROSI-VDNI,"Sejarah VDNI; China First Heavy Industry; pelabuhan",sedang
